Formatted Date,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
2005-12-31,0.6,-4.0,0.89,17.1,140.0,10.0,1016.7
2006-01-01,4.1,-0.2,0.82,21.2,143.0,11.3,1012.0
2006-01-02,5.3,1.8,0.85,17.8,165.0,8.5,1010.4
2006-01-03,2.3,0.4,0.9,7.7,253.0,9.2,1021.2
2006-01-04,2.3,-0.7,0.91,12.2,35.0,8.4,981.8
2006-01-05,2.7,0.4,0.95,9.0,140.0,4.3,935.9
2006-01-06,2.6,1.2,0.95,5.7,270.0,4.6,1023.6
2006-01-07,0.9,-0.7,,6.6,102.0,4.6,1030.2
2006-01-08,-1.2,-2.8,0.87,5.4,114.0,8.7,1035.5
2006-01-09,-1.7,-2.8,0.79,5.1,221.0,8.9,1034.5
2006-01-10,-0.5,-0.8,0.81,3.8,297.0,7.6,946.8
2006-01-11,-1.4,-2.3,0.9,5.1,195.0,3.7,1032.4
2006-01-12,-0.3,-1.1,0.88,4.6,157.0,4.0,1035.1
2006-01-13,-0.4,-2.4,0.92,6.6,258.0,2.6,1037.5
2006-01-14,-1.1,-3.4,,6.8,104.0,5.5,1037.1
2006-01-15,-3.1,-5.8,0.86,7.3,54.0,7.8,1036.5
2006-01-16,-3.6,-3.6,0.82,2.5,190.0,9.8,1031.5
2006-01-17,-3.8,-8.3,0.9,12.6,153.0,5.4,1024.2
2006-01-18,2.0,-1.3,0.93,12.6,226.0,6.3,1007.5
2006-01-19,-1.2,-6.1,0.79,17.6,306.0,11.3,1019.8
2006-01-20,-2.1,-4.6,0.83,7.9,187.0,11.0,1026.9
2006-01-21,0.7,-1.5,0.86,7.8,199.0,10.0,1020.6
2006-01-22,-3.0,-8.8,0.8,20.5,132.0,11.1,1025.0
2006-01-23,-11.5,-18.3,0.68,15.7,16.0,12.4,1038.8
2006-01-24,-10.8,-12.6,0.78,4.7,168.0,11.1,1043.5
2006-01-25,-9.8,-11.4,0.78,4.6,184.0,8.2,1033.6
2006-01-26,-7.9,-12.1,0.71,9.2,91.0,10.9,1028.2
2006-01-27,-6.6,-9.0,0.69,6.4,76.0,9.6,1031.6
2006-01-28,-3.5,-4.9,0.72,5.3,78.0,8.2,1031.8
2006-01-29,0.5,-2.2,0.68,8.8,34.0,7.9,1031.1
2006-01-30,-0.1,-1.5,0.78,5.7,143.0,6.8,1029.3
2006-01-31,-1.4,-4.2,0.88,8.7,302.0,4.9,1023.7
2006-02-01,-2.0,-4.0,0.86,6.6,208.0,5.0,1024.9
2006-02-02,-3.5,-5.1,0.91,5.5,277.0,2.8,1020.5
2006-02-03,-3.4,-4.5,0.79,3.9,232.0,5.3,1019.6
2006-02-04,-3.7,-6.9,0.81,7.9,305.0,4.5,1022.6
2006-02-05,-5.6,-10.7,0.7,15.0,89.0,8.9,1027.6
2006-02-06,-7.0,-12.8,0.67,15.3,167.0,11.9,1026.9
2006-02-07,-5.7,-9.8,0.65,12.8,223.0,10.6,1022.3
2006-02-08,-1.7,-5.6,0.9,11.2,172.0,6.1,1011.0
2006-02-09,-1.2,-4.5,0.93,9.8,229.0,2.5,1007.1
2006-02-10,-1.3,-2.6,0.97,5.2,191.0,0.7,1012.3
2006-02-11,-1.3,-3.8,0.93,8.2,290.0,4.4,1019.0
2006-02-12,-1.3,-5.4,0.81,13.2,304.0,10.4,1023.0
2006-02-13,-2.4,-5.1,0.8,8.1,244.0,10.0,1023.3
2006-02-14,-1.1,-2.4,0.86,5.4,203.0,6.5,1023.8
2006-02-15,-1.8,-5.3,0.92,11.9,144.0,3.3,1019.6
2006-02-16,2.0,-2.5,0.95,19.3,167.0,2.7,1002.6
2006-02-17,3.7,0.9,0.94,12.6,189.0,8.4,1001.9
2006-02-18,5.9,3.6,0.82,14.6,175.0,11.8,1010.8
2006-02-19,7.7,5.8,0.74,11.6,188.0,12.2,1012.1
2006-02-20,8.1,6.1,0.77,15.8,160.0,11.7,1010.9
2006-02-21,7.0,5.7,0.89,9.0,162.0,8.7,929.2
2006-02-22,4.8,2.7,0.86,9.8,296.0,9.5,1018.3
2006-02-23,,-0.5,0.86,10.5,140.0,8.7,1020.7
2006-02-24,3.4,-0.7,0.88,18.1,51.0,10.1,1014.7
2006-02-25,,0.9,0.93,5.2,128.0,6.5,1012.4
2006-02-26,0.6,-2.9,0.91,12.1,225.0,6.4,1009.7
2006-02-27,-2.1,-6.0,0.76,14.2,247.0,10.4,676.2
2006-02-28,-3.6,-8.4,0.8,14.2,135.0,7.7,842.1
2006-03-01,-2.5,-6.7,0.84,12.4,208.0,8.7,1008.7
2006-03-02,-1.8,-4.9,0.88,9.7,151.0,6.6,1008.1
2006-03-03,-0.7,-4.8,0.8,15.4,189.0,10.2,1009.8
2006-03-04,7.5,4.5,0.76,22.9,177.0,12.4,
2006-03-05,2.7,-1.2,0.91,17.3,174.0,8.1,791.8
2006-03-06,-1.1,-5.3,0.86,12.8,312.0,6.6,1010.3
2006-03-07,-1.0,-6.1,0.67,18.3,264.0,11.2,1012.9
2006-03-08,-1.2,-4.7,0.68,12.3,149.0,10.9,1017.0
2006-03-09,0.6,-4.3,0.75,19.5,165.0,10.1,1010.6
2006-03-10,4.5,2.1,0.87,10.7,176.0,9.1,1005.2
2006-03-11,4.6,2.5,0.85,10.2,279.0,8.0,1002.9
2006-03-12,2.7,-2.2,0.79,26.5,56.0,9.2,1009.5
2006-03-13,-1.5,-8.5,0.9,31.9,29.0,4.3,1015.6
2006-03-14,-0.2,-4.5,0.86,14.8,273.0,6.3,1019.1
2006-03-15,1.2,0.0,0.8,5.3,297.0,8.5,1020.9
2006-03-16,2.8,2.4,0.81,3.7,231.0,4.9,1021.2
2006-03-17,3.3,1.5,0.86,8.1,152.0,7.8,1019.8
2006-03-18,3.3,2.8,0.83,4.4,284.0,9.5,1019.4
2006-03-19,3.8,2.3,0.79,7.4,218.0,8.6,1015.9
2006-03-20,5.8,4.1,0.74,11.3,196.0,8.3,1011.2
2006-03-21,9.0,7.9,0.71,13.0,214.0,10.9,1009.3
2006-03-22,11.0,10.4,0.85,9.5,152.0,12.2,1006.2
2006-03-23,5.4,1.1,0.73,25.2,15.0,10.0,1005.8
2006-03-24,3.0,-0.5,0.68,14.6,141.0,12.2,1016.4
2006-03-25,7.5,5.5,0.67,14.0,167.0,11.9,889.3
2006-03-26,12.5,12.1,0.7,11.8,221.0,11.1,381.7
2006-03-27,14.1,13.8,0.69,11.7,207.0,11.4,887.3
2006-03-28,13.7,13.4,0.71,15.8,197.0,12.2,1007.8
2006-03-29,10.4,8.7,0.72,25.9,257.0,12.2,1007.4
2006-03-30,11.2,9.9,0.59,18.4,258.0,12.1,1015.4
2006-03-31,10.4,9.6,0.81,12.2,239.0,12.2,1013.6
2006-04-01,12.7,12.2,0.72,11.8,228.0,12.4,1016.5
2006-04-02,12.4,12.2,0.76,6.6,180.0,12.2,1014.4
2006-04-03,12.3,12.0,0.73,6.4,210.0,11.1,1013.7
2006-04-04,8.6,7.2,0.84,10.7,238.0,10.8,1014.8
2006-04-05,10.8,10.3,0.73,13.7,168.0,10.1,1009.8
2006-04-06,6.4,3.7,0.92,15.2,212.0,8.9,1010.8
2006-04-07,6.8,5.0,0.69,12.2,305.0,11.3,1015.6
2006-04-08,8.1,7.5,0.65,7.2,203.0,11.3,1018.0
2006-04-09,10.7,10.0,0.62,13.1,148.0,11.5,1016.4
2006-04-10,14.5,14.0,0.6,18.2,161.0,11.7,1011.1
2006-04-11,11.9,10.8,0.86,15.6,205.0,8.0,1005.4
2006-04-12,8.3,5.9,0.79,20.8,265.0,11.0,1004.8
2006-04-13,7.4,5.5,0.75,11.6,239.0,11.4,1009.9
2006-04-14,11.2,10.9,0.72,11.3,198.0,11.1,1014.0
